Espresso, Drink, Hot, 1.95
White Chocolate Mocha Frappucino Blended Coffee, Drink, Cold, 3.95
Caffe Latte, Drink, Hot, 3.25
Pike Place, Drink, Cold, 1.95
Mint Majesty Herbal Tea, Drink, Hot, 2.25
Matcha Green Tea Latte, Drink, Hot, 2.60
Earl Grey Black Tea, Drink, Hot, 2.75
Chai Latte, Drink, Hot, 3.75
Double Smoked-Bacon Cheddar & Egg Breakfast Sandwich, Food, Sandwhich (Warm), 4.95
Double Smoked-Bacon Cheddar & Egg Breakfast Sandwich, Food, Sandwhich (Cold), 4.95
Crispy Grill Cheese Sandwich, Food, Sandwhich (Warm), 5.95
Crispy Grill Cheese Sandwich, Food, Sandwhich (Cold), 5.95
Baja Black Bean Veggie Wrap, Food, Sandwhich (Warm), 5.45
Baja Black Bean Veggie Wrap, Food, Sandwhich (Cold), 5.45
Chicken Caprese Sandwich, Food, Sandwhich (Warm), 5.45
Chicken Caprese Sandwich, Food, Sandwhich (Cold), 5.45
Blueberry Muffin, Food, Bakery (Warm), 2.45
Blueberry Muffin, Food, Bakery (Cold), 2.45
Birthday Cake Pop, Food, Bakery (Cold), 1.95
Iced Lemon Loaf Cake, Food, Bakery (Cold), 2.95
Banana Nut Bread, Food, Bakery (Warm), 2.95
Banana Nut Bread, Food, Bakery (Cold), 2.95
Not Valid, None, N/A, 0.0
